Liu_07190201,tf_efficientnet_b0_ns,0.8536,0.8536,19,928,0.5,[0.5],"[832, [0.9, 1.0], [0.75, 1.333]]",48,10,0,1,"[1280, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07240055,tf_efficientnet_b0_ns,0.8967,0.897,18,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",44,2,0.5,1,"[1280, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,Smooth_BCEloss_01
Liu_07210108,tf_efficientnet_b0_ns,0.8931,0.8931,16,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",48,2,0,1,"[1280, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEFocal_loss
Liu_07222211,tf_efficientnet_b4_ns,0.8925,0.8925,19,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",48,2,0,1,"[1792, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07240055,tf_efficientnet_b0_ns,0.8923,0.8923,19,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",44,2,0.5,1,"[1280, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,Smooth_BCEloss_01
Liu_07222211,tf_efficientnet_b4_ns,0.8901,0.8912,17,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",48,2,0,1,"[1792, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07210944,tf_efficientnet_b0_ns,0.8891,0.8906,14,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",48,2,0,1,"[1280, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07210944,tf_efficientnet_b0_ns,0.8893,0.8903,18,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",48,2,0,1,"[1280, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07222211,tf_efficientnet_b4_ns,0.8883,0.8889,17,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",48,2,0,1,"[1792, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07191638,tf_efficientnet_b4_ns,0.8888,0.8888,19,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",64,2,0,1,"[1792, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07191239,tf_efficientnet_b0_ns,0.8882,0.8884,15,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",48,2,0,1,"[1280, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07191237,tf_efficientnet_b4_ns,0.8833,0.8863,18,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",64,10,0,1,"[1792, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07191803,resnet18d,0.883,0.8849,18,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",48,2,0,1,"[512, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07210944,tf_efficientnet_b0_ns,0.8832,0.8835,18,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",48,2,0,1,"[1280, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07221219,tf_efficientnet_b0_ns,0.883,0.88638,13,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",48,2,0,1,"[1280, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,BCEWithLogitsLoss
Liu_07251355,tf_efficientnet_b0_ns,0.8829,0.883,17,"[944, 944, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",48,2,0.5,1,"[1280, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,7,BCEWithLogitsLoss
Liu_07240055,tf_efficientnet_b0_ns,0.879,0.8812,14,"[928, 928, 2]","[832, 832, 2]","[0.2, 0.2, 0]","[0.9, 1.0]",44,2,0.5,1,"[1280, 512, 1]",TRUE,20,1000,0.001,onecyclelr,0.8,adamw,"(0.9, 0.999)",0.01,1,Smooth_BCEloss_01
